Start Day,Day,Micro. #,Infect.,Pollen,# of bees,Hours Feeding,Nectar consumed,Nectar per bee,Nectar per bee per hour,Pollen consumed,Pollen corrected for evp.,Pollen per bee,Pollen per bee per hour,Corrected pollen per bee per hour
5/19/2015,38,6,I,B,3,24.41944444,2.0569,0.685633333,0.028077352,0.0225,-0.007733333,-0.002577778,-0.000105563,.
5/19/2015,1,7,U,S,5,.,3.0859,0.61718,.,0.1455,0.129213333,0.025842667,.,.
5/19/2015,2,7,U,S,5,23.97222222,3.2862,0.65724,0.027416732,0.1155,0.099213333,0.019842667,0.000827736,0.000827736
5/19/2015,3,7,U,S,5,24.3,3.8732,0.77464,0.031878189,0.157,0.140713333,0.028142667,0.001158134,0.001158134
5/19/2015,7,7,U,S,5,.,4.0237,0.80474,.,0.1096,0.093313333,0.018662667,.,.
5/19/2015,8,7,U,S,5,24.34027778,3.3404,0.66808,0.027447509,0.1195,0.103213333,0.020642667,0.000848087,0.000848087
5/19/2015,9,7,U,S,5,24.03541667,3.6153,0.72306,0.030083107,0.1276,0.111313333,0.022262667,0.000926244,0.000926244
5/19/2015,10,7,U,S,5,23.99305556,4.1725,0.8345,0.034780897,0.1019,0.085613333,0.017122667,0.000713651,0.000713651
5/19/2015,14,7,U,S,5,.,3.4699,0.69398,.,0.1979,0.181613333,0.036322667,.,.
5/19/2015,15,7,U,S,5,23.95,3.9294,0.78588,0.032813361,0.1414,0.125113333,0.025022667,0.001044788,0.001044788
5/19/2015,16,7,U,S,5,24.02777778,4.9753,0.99506,0.041412902,0.184,0.167713333,0.033542667,0.001395995,0.001395995
5/19/2015,17,7,U,S,5,23.93888889,3.9429,0.78858,0.032941379,0.1971,0.180813333,0.036162667,0.001510624,0.001510624
5/19/2015,22,7,U,S,4,.,3.2858,0.82145,.,0.2145,0.198213333,0.049553333,.,.
5/19/2015,23,7,U,S,4,23.97916667,4.1868,1.0467,0.043650391,0.2182,0.201913333,0.050478333,0.002105091,0.002105091
5/19/2015,24,7,U,S,4,23.9875,4.5448,1.1362,0.047366337,0.2221,0.205813333,0.051453333,0.002145006,0.002145006
5/19/2015,28,7,U,S,4,.,2.4531,0.613275,.,0.1223,0.106013333,0.026503333,.,.
5/19/2015,29,7,U,S,3,24.00902778,5.8325,1.944166667,0.080976485,0.115,0.098713333,0.032904444,0.001370503,0.001370503
5/19/2015,30,7,U,S,3,23.97916667,3.149,1.049666667,0.043774109,0.0954,0.079113333,0.026371111,0.001099751,0.001099751
5/19/2015,31,7,U,S,3,24.0125,3.5621,1.187366667,0.049447857,0.0585,0.042213333,0.014071111,0.000585991,0.000585991
5/19/2015,32,7,U,S,2,24.05555556,2.6992,1.3496,0.056103464,0.0564,0.040113333,0.020056667,0.000833764,0.000833764
5/19/2015,36,7,U,S,2,.,2.3721,1.18605,.,0.0341,0.017813333,0.008906667,.,.
5/19/2015,37,7,U,S,2,24.0375,1.934,0.967,0.040228809,0.0395,0.023213333,0.011606667,0.000482857,0.000482857
5/19/2015,38,7,U,S,2,24.40208333,1.7805,0.89025,0.036482541,0.0276,0.011313333,0.005656667,0.000231811,0.000231811
5/19/2015,1,8,U,B,5,.,2.5202,0.50404,.,0.0786,0.048366667,0.009673333,.,.
5/19/2015,2,8,U,B,4,23.95138889,2.9367,0.734175,0.030652711,0.0758,0.045566667,0.011391667,0.000475616,0.000475616
5/19/2015,3,8,U,B,4,24.30138889,3.4512,0.8628,0.035504144,0.0851,0.054866667,0.013716667,0.00056444,0.00056444
5/19/2015,7,8,U,B,4,.,2.1211,0.530275,.,0.0566,0.026366667,0.006591667,.,.
5/19/2015,8,8,U,B,4,24.3375,2.9155,0.728875,0.029948639,0.0127,-0.017533333,-0.004383333,-0.000180106,.
5/19/2015,9,8,U,B,4,23.95555556,3.3668,0.8417,0.0351359,0.0555,0.025266667,0.006316667,0.000263683,0.000263683
5/19/2015,10,8,U,B,4,24.05486111,3.4129,0.853225,0.035469962,0.0446,0.014366667,0.003591667,0.000149311,0.000149311
5/19/2015,14,8,U,B,4,.,.,.,.,0.065,0.034766667,0.008691667,.,.
5/19/2015,15,8,U,B,3,23.92916667,3.2274,1.0758,0.044957688,.,.,.,.,.
5/19/2015,16,8,U,B,3,23.99583333,2.5004,0.833466667,0.034733808,0.0476,0.017366667,0.005788889,0.000241246,0.000241246
5/19/2015,17,8,U,B,3,23.98541667,2.9038,0.967933333,0.040355077,0.0099,-0.020333333,-0.006777778,-0.000282579,.
5/19/2015,22,8,U,B,3,.,3.0294,1.0098,.,0.0411,0.010866667,0.003622222,.,.
5/19/2015,23,8,U,B,3,23.95555556,2.7069,0.9023,0.037665584,0.0436,0.013366667,0.004455556,0.000185993,0.000185993
5/19/2015,24,8,U,B,3,24.03194444,2.9013,0.9671,0.04024227,0.0607,0.030466667,0.010155556,0.000422586,0.000422586
5/19/2015,28,8,U,B,3,.,3.0275,1.009166667,.,0.048,0.017766667,0.005922222,.,.
5/19/2015,29,8,U,B,3,23.9875,2.4996,0.8332,0.034734758,0.059,0.028766667,0.009588889,0.000399745,0.000399745
5/19/2015,30,8,U,B,3,24.00972222,2.6328,0.8776,0.03655186,0.0796,0.049366667,0.016455556,0.000685371,0.000685371
5/19/2015,31,8,U,B,3,24.00277778,3.5077,1.169233333,0.048712418,0.0667,0.036466667,0.012155556,0.000506423,0.000506423
5/19/2015,32,8,U,B,3,24.04444444,2.8629,0.9543,0.039689002,0.0616,0.031366667,0.010455556,0.000434843,0.000434843
5/19/2015,36,8,U,B,3,.,2.2829,0.760966667,.,0.0513,0.021066667,0.007022222,.,.
5/19/2015,37,8,U,B,3,23.89722222,2.4974,0.832466667,0.03483529,0.062,0.031766667,0.010588889,0.000443101,0.000443101
5/19/2015,38,8,U,B,3,24.41180556,2.1299,0.709966667,0.029082923,0.0472,0.016966667,0.005655556,0.000231673,0.000231673
5/19/2015,42,8,U,B,3,.,1.9686,0.6562,.,0.0395,0.009266667,0.003088889,.,.
5/19/2015,43,8,U,B,3,23.96458333,2.1896,0.729866667,0.030456055,0.027,-0.003233333,-0.001077778,-4.49738E-05,.
5/19/2015,44,8,U,B,3,23.96944444,2.5848,0.8616,0.035945764,0.0369,0.006666667,0.002222222,9.27106E-05,9.27106E-05
5/19/2015,45,8,U,B,3,23.98541667,3.0498,1.0166,0.042384088,0.0364,0.006166667,0.002055556,8.57002E-05,8.57002E-05
5/19/2015,49,8,U,B,3,.,2.4821,0.827366667,.,0.0435,0.013266667,0.004422222,.,.
5/19/2015,50,8,U,B,3,23.94652778,2.7015,0.9005,0.037604617,0.0416,0.011366667,0.003788889,0.000158223,0.000158223
5/19/2015,51,8,U,B,3,24.11875,3.315,1.105,0.045814978,0.0329,0.002666667,0.000888889,3.68547E-05,3.68547E-05
5/19/2015,52,8,U,B,3,23.99513889,1.3007,0.433566667,0.018068938,0.0337,0.003466667,0.001155556,4.81579E-05,4.81579E-05
5/19/2015,56,8,U,B,3,.,2.8413,0.9471,.,0.054,0.023766667,0.007922222,.,.
5/19/2015,57,8,U,B,3,24.08333333,1.5649,0.521633333,0.021659516,0.0375,0.007266667,0.002422222,0.000100577,0.000100577
5/19/2015,58,8,U,B,3,24.3125,2.2367,0.745566667,0.030665981,-0.0136,-0.043833333,-0.014611111,-0.000600971,.
